price,bedroom,bathroom,land_area,building_area,location
1180.0,3,2,90,84,"Rungkut, Surabaya"
650.0,3,2,60,90,"Kebraon, Surabaya"
790.0,2,1,78,70,"Rungkut, Surabaya"
315.0,2,1,91,68,"Sidoarjo, Sidoarjo"
1980.0,3,2,108,125,"Ngagel, Surabaya"
1800.0,3,3,90,120,"Kenjeran, Surabaya"
1850.0,4,3,82,130,"Mulyorejo, Surabaya"
595.0,2,1,65,30,"Tenggilis Mejoyo, Surabaya"
1550.0,4,3,128,180,"Wiyung, Surabaya"
300.0,2,2,191,72,"Sidoarjo, Sidoarjo"
400.0,2,1,69,55,"Surabaya Kota, Surabaya"
650.0,2,1,105,67,"Sidoarjo, Sidoarjo"
650.0,2,1,60,36,"Rungkut, Surabaya"
650.0,2,1,60,42,"Rungkut, Surabaya"
699.0,2,1,60,60,"Rungkut, Surabaya"
560.0,2,1,105,100,"Surabaya Kota, Surabaya"
400.0,3,2,185,100,"Rungkut, Surabaya"
315.0,2,1,90,90,"Pakal, Surabaya"
1700.0,4,4,67,165,"Manyar, Surabaya"
1800.0,4,2,154,150,"Babatan, Surabaya"
1300.0,3,2,120,96,"Sukomanunggal, Surabaya"
1200.0,3,1,90,90,"Babatan, Surabaya"
473.0,3,1,168,170,"Kenjeran, Surabaya"
650.0,2,1,44,60,"Wiyung, Surabaya"
773.0,2,1,44,60,"Wiyung, Surabaya"
1250.0,3,2,82,110,"Kenjeran, Surabaya"
1650.0,3,3,84,130,"Mulyosari, Surabaya"
750.0,2,2,100,70,"Gununganyar, Surabaya"
550.0,2,1,35,35,"Rungkut, Surabaya"
1050.0,3,2,77,150,"Gununganyar, Surabaya"
1450.0,3,2,108,100,"Citraland, Surabaya"
1250.0,3,4,82,120,"Lakarsantri, Surabaya"
1400.0,3,2,108,100,"Citraland, Surabaya"
