"price","name","location","bedroom","bathroom","land_area","building_area"
"Rp 1,9 Miliar","Dijual Rumah 1lt Di Kahuripan Nirwana Exc Sidoarjo Kota","Sidoarjo, Sidoarjo","3","2","210 m²","180 m²"
"Rp 1,4 Miliar","Rumah Huni tipe Hook Puri Surya Jaya","Gedangan, Sidoarjo","2","1","180 m²","84 m²"
"Rp 800 Juta","Rumah Murah Poll Pondok Tjandra Nanas Sidoarjo Dekat Bandara","Pondok Tjandra, Sidoarjo","2","2","140 m²","120 m²"
"Rp 2,25 Miliar","Dekat Sport Club Rumah Siap Huni Pondok Tjandra Sidoarjo 3KT Hoek One Gate Harga Bu","Waru, Sidoarjo","3","2","258 m²","200 m²"
"Rp 950 Juta","Flash Sale Rumah Grand Delta Sari Waru Sidoarjo Shm 7x15 Siap Huni Mau Pindah Murah","Waru, Sidoarjo","2","1","105 m²","70 m²"
"Rp 875 Juta","Banting Harga Rumah Garden Dian Regency Sidoarjo 9x17 Hook 10 Menit Kr Bandara / Tol Juanda Muuraaahh","Waru, Sidoarjo","2","1","148 m²","80 m²"
"Rp 875 Juta","Banting Harga Rumah Garden Dian Regency Sidoarjo 9x17 Hook 10 Menit Kr Bandara / Tol Juanda Muuraaahh","Waru, Sidoarjo","2","1","148 m²","80 m²"
"Rp 1 Miliar","Rumah Di Perumahan Wismasari Juanda Dekat Dengan Bandara Juanda","Sedati, Sidoarjo","2","1","153 m²","130 m²"
"Rp 425 Juta","Rumah 400 Jutaan Selatan Surabaya Nup 3.juta.saja.( Full Refund)","Sedati, Sidoarjo","2","1","72 m²","36 m²"
"Rp 900 Juta","Rumah Baru Free Dp 2lt Fasum Komplit - Perum Shojiland Sidodadi Sidoarjo","Candi, Sidoarjo","2","1","78 m²","150 m²"
"Rp 400 Juta","Rumah Asri Lokasi Strategis Free Dp Di Krian Sidoarjo","Krian, Sidoarjo","2","1","72 m²","36 m²"
"Rp 885 Juta","Rumah Siap Huni Full Granit Siap Huni Include Perabot Di Rewwin Waru Sidoarjo","Waru, Sidoarjo","2","2","91 m²","75 m²"
"Rp 700 Juta","Rumah Baru Di Waru Sidoarjo Start 700jt Dekat Tol Waru& Tol Rungkut Surabaya","Waru, Sidoarjo","2","1","60 m²","35 m²"
"Rp 350 Juta","Rumah Free Dp Kualitas & Lokasi Istimewa Di Java Residence Krian","Krian, Sidoarjo","2","1","75 m²","36 m²"
"Rp 600 Juta","Rumah Baru Ready Unit Free Dp Start 600jt - The Oso Waru Sidoarjo","Waru, Sidoarjo","2","1","72 m²","36 m²"
"Rp 3,2 Miliar","Rumah Kokoh 2lt L. 434m2 Jual Include Perabot Di Puri Surya Jaya","Gedangan, Sidoarjo","4","3","434 m²","180 m²"
"Rp 600 Juta","Rumah Baru Free Dp Nol Jln Ry Sidodadi Sidoarjo","Candi, Sidoarjo","2","1","72 m²","36 m²"
"Rp 1,15 Miliar","Jual Cepat Rumah 1,5 Lt Kondisi Prima - Puri Surya Jaya Sidoarjo","Gedangan, Sidoarjo","2","1","105 m²","70 m²"
"Rp 1,4 Miliar","Jual Cepat Rumah Gress 2lt Siap Huni L.105m2 Semambung Juanda","Gedangan, Sidoarjo","4","2","105 m²","135 m²"
"Rp 1,1 Miliar","Rumah 2 Lt Siap Huni 3 Kt Di Perum Deltasari Sidoarjo","Waru, Sidoarjo","3","2","91 m²","75 m²"
