price,name,location,bedroom,bathroom,land_area,building_area
Rp 475 Juta,Dijual Rumah Baru Gress Di Tulangan Sidoarjo,"Sidoarjo, Sidoarjo",2,1,105 m²,45 m²
Rp 2 Miliar,"Rumah 2 Lantai Bagus Unfurnished SHM di Dijual Rumah Wisma Gunung Anyar Surabaya, Surabaya Dekat Dengan Upn,juanda Air Port","Gununganyar, Surabaya",3,2,120 m²,200 m²
"Rp 1,3 Miliar",Jual Rumah Dengan Celing Tinggi Siap Huni Dekat Wiyung Pondok Maritim Indah,"Wiyung, Surabaya",3,2,156 m²,120 m²
"Rp 1,55 Miliar","RUMAH CAKEP BARU GRESS DI RUNGKUT ASRI SURABAYA, DEKAT GUNUNG ANYAR, KEDUNG BARUK, KEDUNG ASEM, TENGGILIS, KENDANGSARI, KUTISARI, PANDUGO, PENJARINGAN","Rungkut, Surabaya",3,3,100 m²,155 m²
Rp 950 Juta,Jual Rumah Siap Huni Di Pondok Maritim Wiyung,"Wiyung, Surabaya",3,2,117 m²,80 m²
"Rp 1,95 Miliar","RUMAH BARU DI KLAMPIS SEMOLO DEKAT WISMA MUKTI, MANYAR, MERR, DAN NGINDEN INTAN","Sukolilo, Surabaya",4,4,82 m²,120 m²
"Rp 1,75 Miliar",Kutisari Indah. Rumah baru HOOK 2 LT. JALAN UTAMA ROW 5 MOBIL. Premium Quality,"Kutisari, Surabaya",3,3,105 m²,100 m²
Rp 750 Juta,Rumah tengah kota murahh ada water heather,"Sidoarjo, Sidoarjo",3,2,84 m²,100 m²
Rp 850 Juta,"Rumah di Kalianyar Wetan Genteng, Surabaya Pusat","Genteng, Surabaya",2,1,198 m²,198 m²
"Rp 1,15 Miliar","Rumah di Lebak Arum Kenjeran, Surabaya Timur","Kenjeran, Surabaya",3,2,190 m²,200 m²
"Rp 1,7 Miliar",Murah Rumah Rungkut Asri Dijual Nego Cepat,"Rungkut, Surabaya",3,1,200 m²,130 m²
Rp 988 Juta,Termurah Rumah Northwest Lake 3 Kamar Nwl Citraland North West Paling Murah Surabaya,"Citraland, Surabaya",3,2,55 m²,95 m²
"Rp 1,35 Miliar",Rmh Siap Huni Perum Mutiara Citra Graha Candi Sdrjo,"Sidoarjo, Surabaya",3,2,150 m²,180 m²
"Rp 1,1 Miliar",Rumah di Wiguna Selatan 1 M an dekat Kampus UPN,"Gununganyar, Surabaya",7,2,90 m²,90 m²
Rp 900 Juta,Dijual Rumah Royal Park Regency Rungkut,"Rungkut, Surabaya",3,2,72 m²,60 m²
"Rp 1,4 Miliar",Jual Rumah Nirwana Executive Akses Strategis Dekat Merr,"Rungkut, Surabaya",3,3,128 m²,128 m²
Rp 325 Juta,"Dijual Rumah di Perum Omah Indah Menganti Jl. Durian Bl. A4, Surabaya","Surabaya Kota, Surabaya",3,1,72 m²,65 m²
Rp 850 Juta,Murah ! Rumah 2 Lantai Di Dekat Pasar Citraland,"Sambikerep, Surabaya",2,2,72 m²,84 m²
"Rp 1,29 Miliar",Termurah Rumah Babatan Mukti Wiyung Paling Murah Surabaya,"Wiyung, Surabaya",4,2,135 m²,100 m²
"Rp 1,83 Miliar",Dijual Rumah Rungkut Asri Timur Sby Rungkut,"Rungkut, Surabaya",3,1,200 m²,170 m²
"Rp 1,5 Miliar",RUMAH BARU HUNIAN 2 LANTAI DI JALAN MEDAYU SENTOSA RUNGKUT SURABAYA,"Rungkut, Surabaya",3,2,92 m²,92 m²
"Rp 1,25 Miliar",rumah Murah Siap Huni Harga Dibawah Njop Di Kebraon Indah,"Kebraon, Surabaya",3,2,198 m²,150 m²
"Rp 1,5 Miliar",Perum Koala Regency One Gate System,"Sukolilo, Surabaya",4,3,128 m²,100 m²
Rp 2 Miliar,Hunian Nyaman Bebas Banjir di Rungkut Asri dekat Merr,"Rungkut, Surabaya",4,3,200 m²,175 m²
Rp 700 Juta,Dijual Termurahhhh Perum Ykp Perumahan One Gate Security 24 Jam Full Cctv,"Rungkut, Surabaya",2,1,90 m²,90 m²
"Rp 1,1 Miliar",Rumah Kos Aktif Wiguna Dekat Kampus Upn,"Rungkut, Surabaya",7,2,90 m²,90 m²
"Rp 1,75 Miliar",Banting Harga Rumah Bagus Siap Huni Dekat Exit Tol Sidoarjo Kota,"Sidoarjo, Surabaya",4,3,135 m²,200 m²
"Rp 1,55 Miliar",BARU MINIMALIS RUNGKUT ASRI,"Rungkut, Surabaya",3,3,100 m²,155 m²
"Rp 1,1 Miliar",Rumah Griya Babatan Mukti,"Wiyung, Surabaya",4,3,135 m²,125 m²
"Rp 1,1 Miliar",Rumah Griya Babatan Mukti,"Wiyung, Surabaya",4,3,135 m²,125 m²
Rp 2 Miliar,Rumah Graha Natura,"Sambikerep, Surabaya",3,3,78 m²,90 m²
"Rp 1,1 Miliar",Rumah Griya Babatan Mukti,"Wiyung, Surabaya",4,3,135 m²,125 m²
"Rp 1,8 Miliar",Dijual Rumah 2 Lantai di Wisma Lidah Kulon Surabaya,"Lidah Kulon, Surabaya",4,3,225 m²,225 m²
"Rp 1,2 Miliar",Dijual Rumah 2 Lantai di Jl Bangkingan Surabaya Barat,"Lakarsantri, Surabaya",3,1,105 m²,105 m²
