iter	Passed	Remaining
963	2535	1410
964	2538	1407
965	2540	1404
966	2543	1401
967	2545	1399
968	2548	1396
969	2550	1393
970	2553	1391
971	2555	1388
972	2558	1385
973	2560	1383
974	2563	1380
975	2565	1377
976	2568	1374
977	2571	1372
978	2573	1369
979	2576	1366
980	2578	1364
981	2581	1361
982	2583	1358
983	2586	1356
984	2588	1353
985	2591	1350
986	2593	1348
987	2596	1345
988	2598	1342
989	2601	1340
990	2603	1337
991	2606	1334
992	2608	1332
993	2611	1329
994	2614	1326
995	2616	1324
996	2619	1321
997	2621	1318
998	2624	1315
999	2626	1313
1000	2629	1310
1001	2631	1307
1002	2634	1305
1003	2636	1302
1004	2639	1299
1005	2641	1297
1006	2644	1294
1007	2646	1291
1008	2649	1289
1009	2651	1286
1010	2654	1283
1011	2656	1281
1012	2659	1278
1013	2661	1275
1014	2664	1272
1015	2666	1270
1016	2669	1267
1017	2671	1264
1018	2674	1262
1019	2676	1259
1020	2679	1256
1021	2681	1254
1022	2684	1251
1023	2686	1248
1024	2689	1246
1025	2691	1243
1026	2694	1240
1027	2696	1238
1028	2699	1235
1029	2701	1232
1030	2704	1230
1031	2706	1227
1032	2709	1224
1033	2711	1222
1034	2714	1219
1035	2717	1216
1036	2719	1214
1037	2722	1211
1038	2724	1208
1039	2727	1206
1040	2729	1203
1041	2732	1200
1042	2734	1198
1043	2737	1195
1044	2739	1192
1045	2742	1190
1046	2744	1187
1047	2747	1184
1048	2749	1182
1049	2752	1179
1050	2755	1177
1051	2758	1174
1052	2760	1171
1053	2763	1169
1054	2766	1166
1055	2769	1164
1056	2771	1161
1057	2774	1159
1058	2776	1156
1059	2779	1153
1060	2781	1151
1061	2784	1148
1062	2786	1145
1063	2789	1143
1064	2791	1140
1065	2794	1137
1066	2796	1134
1067	2799	1132
1068	2801	1129
1069	2804	1126
1070	2807	1124
1071	2809	1121
1072	2812	1119
1073	2814	1116
1074	2816	1113
1075	2819	1110
1076	2821	1108
1077	2824	1105
1078	2826	1103
1079	2829	1100
1080	2832	1097
1081	2834	1095
1082	2837	1092
1083	2839	1089
1084	2842	1087
1085	2844	1084
1086	2847	1081
1087	2849	1079
1088	2852	1076
1089	2854	1073
1090	2857	1071
1091	2859	1068
1092	2862	1065
1093	2864	1063
1094	2867	1060
1095	2869	1057
1096	2872	1055
1097	2874	1052
1098	2877	1049
1099	2879	1047
1100	2882	1044
1101	2884	1041
1102	2887	1039
1103	2889	1036
1104	2892	1033
1105	2894	1031
1106	2897	1028
1107	2899	1025
1108	2902	1023
1109	2904	1020
1110	2907	1017
1111	2909	1015
1112	2912	1012
1113	2914	1009
1114	2917	1007
1115	2919	1004
1116	2922	1001
1117	2924	999
1118	2927	996
1119	2929	994
1120	2932	991
1121	2934	988
1122	2937	986
1123	2939	983
1124	2942	980
1125	2944	978
1126	2947	975
1127	2949	972
1128	2952	970
1129	2954	967
1130	2957	964
1131	2959	962
1132	2962	959
1133	2964	956
1134	2967	954
1135	2969	951
1136	2972	948
1137	2974	946
1138	2977	943
1139	2979	940
1140	2982	938
1141	2984	935
1142	2987	932
1143	2989	930
1144	2992	927
1145	2994	925
1146	2997	922
1147	2999	919
1148	3002	917
1149	3004	914
1150	3006	911
1151	3009	909
1152	3011	906
1153	3014	903
1154	3016	901
1155	3019	898
1156	3021	895
1157	3024	893
1158	3026	890
1159	3029	887
1160	3031	885
1161	3034	882
1162	3036	879
1163	3039	877
1164	3041	874
1165	3044	871
1166	3046	869
1167	3048	866
1168	3051	863
1169	3053	861
1170	3056	858
1171	3058	856
1172	3061	853
1173	3063	850
1174	3066	848
1175	3068	845
1176	3071	842
1177	3073	840
1178	3076	837
1179	3078	834
1180	3081	832
1181	3083	829
1182	3086	826
1183	3088	824
1184	3091	821
1185	3093	819
1186	3096	816
1187	3098	813
1188	3100	811
1189	3103	808
1190	3105	805
1191	3108	803
1192	3110	800
1193	3113	797
