iter	Passed	Remaining
849	3809	5153
850	3813	5148
851	3817	5144
852	3822	5139
853	3826	5134
854	3830	5130
855	3836	5126
856	3840	5122
857	3845	5117
858	3849	5112
859	3853	5108
860	3857	5103
861	3862	5098
862	3866	5094
863	3872	5091
864	3878	5089
865	3883	5085
866	3887	5080
867	3892	5076
868	3896	5071
869	3902	5068
870	3906	5063
871	3911	5059
872	3915	5055
873	3920	5050
874	3924	5046
875	3929	5041
876	3935	5040
877	3940	5035
878	3944	5030
879	3948	5025
880	3952	5020
881	3956	5015
882	3960	5010
883	3964	5005
884	3970	5001
885	3973	4996
886	3978	4991
887	3982	4986
888	3986	4981
889	3990	4976
890	3994	4972
891	3999	4967
892	4003	4962
893	4007	4957
894	4011	4952
895	4015	4947
896	4019	4942
897	4023	4937
898	4027	4932
899	4032	4928
900	4036	4923
901	4041	4919
902	4045	4914
903	4049	4909
904	4054	4905
905	4059	4901
906	4063	4897
907	4068	4892
908	4072	4888
909	4077	4883
910	4081	4879
911	4086	4874
912	4090	4869
913	4094	4865
914	4099	4860
915	4103	4856
916	4107	4851
917	4112	4847
918	4116	4842
919	4121	4837
920	4125	4833
921	4130	4828
922	4134	4824
923	4138	4819
924	4143	4814
925	4147	4810
926	4151	4805
927	4156	4800
928	4160	4796
929	4165	4792
930	4169	4787
931	4173	4782
932	4177	4777
933	4181	4772
934	4186	4768
935	4190	4763
936	4194	4759
937	4199	4754
938	4203	4749
939	4208	4745
940	4212	4740
941	4216	4735
942	4220	4730
943	4225	4727
944	4230	4722
945	4234	4717
946	4238	4712
947	4242	4708
948	4246	4703
949	4251	4698
950	4256	4694
951	4260	4689
952	4264	4685
953	4268	4680
954	4273	4676
955	4277	4671
956	4282	4666
957	4286	4662
958	4291	4658
959	4295	4653
960	4299	4648
961	4304	4644
962	4311	4642
963	4315	4638
964	4321	4635
965	4326	4631
966	4331	4627
967	4336	4622
968	4340	4618
969	4344	4613
970	4349	4608
971	4353	4604
972	4358	4600
